State_ID,plant_id,plant_name,plant_group,min_height(ft),max_height(ft),water_necessity (1Lcup/day),maintenance,sunlight,indoor,outdoor,potted,shortest_growth_period(year),longest_growth_period(year),min_area_square_feet,Co2_absorption(kg)_per_year,O2_release(kg)_per_year,lifetime(year),lowest_temp,highest_temp,Uses,description,Current_Market_Price_MMK_per_kg,Price_Unit
MON,33.0,Rambutan,fruit,15.0,50.0,13.0,High,Full Sun,No,Yes,No,4.0,6.0,40.0,22,12.0,40.0,-2.0,40.0,"Fresh fruit, desserts, juice","Tropical tree fruit covered with soft spines, enclosing sweet, translucent flesh.","7,349",MMK/kg
MDY,34.0,Lychee,fruit,20.0,40.0,13.0,Medium,Full Sun,No,Yes,Yes,3.0,6.0,30.0,7,5.0,100.0,5.0,30.0,"Fresh fruit, desserts, juice","Small round fruit with rough red skin and translucent, juicy, aromatic flesh.","9,186",MMK/kg
SHN_S,34.0,Lychee,fruit,20.0,40.0,13.0,Medium,Full Sun,No,Yes,Yes,3.0,6.0,30.0,7,5.0,100.0,5.0,30.0,"Fresh fruit, desserts, juice","Small round fruit with rough red skin and translucent, juicy, aromatic flesh.","9,186",MMK/kg
AYY,34.0,Lychee,fruit,20.0,40.0,13.0,Medium,Full Sun,No,Yes,Yes,3.0,6.0,30.0,7,5.0,100.0,5.0,30.0,"Fresh fruit, desserts, juice","Small round fruit with rough red skin and translucent, juicy, aromatic flesh.","9,186",MMK/kg
SHN_S,35.0,Cherry,fruit,10.0,40.0,4.0,High,Partial Sun,No,Yes,Yes,3.0,6.0,25.0,3,2.0,25.0,-5.0,30.0,"Fresh fruit, desserts, baking, juice","Small, round, red fruit with a single seed, sweet to slightly tart in taste.","60,000",MMK/kg
SHN_S,36.0,Pear,fruit,12.0,30.0,4.0,Medium,Full Sun,No,Yes,Yes,3.0,5.0,20.0,3,1.5,40.0,-3.0,40.0,"Fresh fruit, desserts, baking, juice","Medium-sized tree fruit with smooth skin, crisp and juicy flesh, sweet or slightly tart.","12,000",MMK/kg
KYN,37.0,Black pepper,fruit,3.0,8.0,4.0,Medium,Partial Sun,Yes,Yes,Yes,1.0,2.0,4.0,1,0.6,15.0,5.0,30.0,"Culinary (seasoning, flavoring), Medicinal (digestion, immunity)","Vine plant producing small, spicy to mild fruits used as spice and flavoring.","24,496",MMK/kg
SHN_S,37.0,Black pepper,fruit,3.0,8.0,1.0,Medium,Partial Sun,Yes,Yes,Yes,1.0,2.0,4.0,1,0.6,15.0,5.0,30.0,"Culinary (seasoning, flavoring), Medicinal (digestion, immunity)","Vine plant producing small, spicy to mild fruits used as spice and flavoring.","24,496",MMK/kg
TNY,37.0,Black pepper,fruit,3.0,8.0,1.0,Medium,Partial Sun,Yes,Yes,Yes,1.0,2.0,4.0,1,0.6,15.0,5.0,30.0,"Culinary (seasoning, flavoring), Medicinal (digestion, immunity)","Vine plant producing small, spicy to mild fruits used as spice and flavoring.","24,496",MMK/kg
YGN,38.0,Bell Pepper,fruit,1.0,3.0,1.0,Medium,Partial Sun,Yes,Yes,Yes,0.5,1.0,2.0,2,1.0,1.0,10.0,35.0,"Culinary (salads, cooked dishes), Nutritional (vitamin C, nutrient-rich)",Bright-colored fruit used fresh or cooked; moderately easy to grow; adds flavor and nutrients.,"6,124",MMK/kg
MDY,38.0,Bell Pepper,fruit,1.0,3.0,1.0,Medium,Partial Sun,Yes,Yes,Yes,0.5,1.0,2.0,2,1.0,1.0,10.0,35.0,"Culinary (salads, cooked dishes), Nutritional (vitamin C, nutrient-rich)",Bright-colored fruit used fresh or cooked; moderately easy to grow; adds flavor and nutrients.,"6,124",MMK/kg
AYY,39.0,Culantro,vegetable,0.2,1.0,1.0,Low,Partial Sun,Yes,Yes,Yes,0.1,0.2,1.0,0.3,0.15,2.0,5.0,28.0,"Culinary (spice, seasoning), medicinal (antioxidant, digestive)","Herb with long serrated leaves, aromatic, stronger flavor than cilantro.","4,899",MMK/kg
TNY,39.0,Culantro,vegetable,0.2,1.0,1.0,Low,Partial Sun,Yes,Yes,Yes,0.1,0.2,1.0,0.3,0.15,2.0,5.0,28.0,"Culinary (spice, seasoning), medicinal (antioxidant, digestive)","Herb with long serrated leaves, aromatic, stronger flavor than cilantro.","4,899",MMK/kg
SHN_S,40.0,Celery,vegetable,1.0,2.0,1.0,Medium,Partial Sun,Yes,Yes,Yes,0.1,0.16,2.0,0.4,0.2,2.0,4.0,25.0,"Culinary (salads, cooking), medicinal (hydration, anti-inflammatory)","Tall, leafy green plant with crunchy stalks and fibrous leaves.","4,593",MMK/kg
MDY,40.0,Celery,vegetable,1.0,2.0,1.0,Medium,Partial Sun,Yes,Yes,Yes,0.1,0.16,2.0,0.4,0.2,2.0,4.0,25.0,"Culinary (salads, cooking), medicinal (hydration, anti-inflammatory)","Tall, leafy green plant with crunchy stalks and fibrous leaves.","4,593",MMK/kg
YGN,40.0,Celery,vegetable,1.0,2.0,1.0,Medium,Partial Sun,Yes,Yes,Yes,0.1,0.16,2.0,0.4,0.2,2.0,4.0,25.0,"Culinary (salads, cooking), medicinal (hydration, anti-inflammatory)","Tall, leafy green plant with crunchy stalks and fibrous leaves.","4,593",MMK/kg
AYY,41.0,Bottle gourd,vegetable,6.0,20.0,4.0,Low,Full Sun,No,Yes,Yes,0.3,0.6,6.0,1.5,0.8,1.0,10.0,35.0,"Culinary (soups, cooking), medicinal (digestive, cooling)","Climbing vine with large, elongated or round fruits with firm, edible flesh.","1,531",MMK/kg
BGO,41.0,Bottle gourd,vegetable,6.0,20.0,4.0,Low,Full Sun,No,Yes,Yes,0.3,0.6,6.0,1.5,0.8,1.0,10.0,35.0,"Culinary (soups, cooking), medicinal (digestive, cooling)","Climbing vine with large, elongated or round fruits with firm, edible flesh.","1,531",MMK/kg
YGN,41.0,Bottle gourd,vegetable,6.0,20.0,4.0,Low,Full Sun,No,Yes,Yes,0.3,0.6,6.0,1.5,0.8,1.0,10.0,35.0,"Culinary (soups, cooking), medicinal (digestive, cooling)","Climbing vine with large, elongated or round fruits with firm, edible flesh.","1,531",MMK/kg
MDY,42.0,Spinach,vegetable,0.3,1.0,1.0,Low,Partial Sun,Yes,Yes,Yes,0.1,0.2,1.0,0.2,0.1,1.0,4.0,25.0,"Culinary (salads, cooking), medicinal (iron-rich, antioxidants)","Fast-growing leafy green plant with tender, mild-tasting leaves.","2,143",MMK/kg
SAG,42.0,Spinach,vegetable,0.3,1.0,1.0,Low,Partial Sun,Yes,Yes,Yes,0.1,0.2,1.0,0.2,0.1,1.0,4.0,25.0,"Culinary (salads, cooking), medicinal (iron-rich, antioxidants)","Fast-growing leafy green plant with tender, mild-tasting leaves.","2,143",MMK/kg
SHN_S,42.0,Spinach,vegetable,0.3,1.0,1.0,Low,Partial Sun,Yes,Yes,Yes,0.1,0.2,1.0,0.2,0.1,1.0,4.0,25.0,"Culinary (salads, cooking), medicinal (iron-rich, antioxidants)","Fast-growing leafy green plant with tender, mild-tasting leaves.","2,143",MMK/kg
SHN_S,43.0,Tealeaf,vegetable,5.0,15.0,2.0,Medium,Partial Sun,No,Yes,Yes,2.0,4.0,12.0,3,2.0,40.0,8.0,28.0,"Culinary (tea, beverages), medicinal (antioxidant, heart health)","Shrub producing small green leaves used for tea, evergreen, grows in tropical and subtropical regions.","9,798",MMK/kg
SHN_S,44.0,Broccoli,vegetable,1.0,3.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.3,0.5,3.0,0.8,0.4,2.0,5.0,30.0,"Cooking (steamed, stir-fry), salads, medicinal (vitamins, fiber)","Plant with thick stems and green flower heads, nutrient-rich, edible before flowering.","5,205",MMK/kg
CHN,44.0,Broccoli,vegetable,1.0,3.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.3,0.5,3.0,0.8,0.4,2.0,5.0,30.0,"Cooking (steamed, stir-fry), salads, medicinal (vitamins, fiber)","Plant with thick stems and green flower heads, nutrient-rich, edible before flowering.","5,205",MMK/kg
BGO,45.0,Teak,tree,98.0,148.0,20.0,low,full sun,no,yes,no,20.0,35.0,70.0,50,65.0,200.0,12.0,42.0,"timber, furniture, boatbuilding",premium hardwood tree,"8,500",MMK/kg
SAG,45.0,Teak,tree,98.0,148.0,20.0,low,full sun,no,yes,no,20.0,35.0,70.0,50,65.0,200.0,12.0,42.0,"timber, furniture, boatbuilding",premium hardwood tree,"8,500",MMK/kg
SHN_S,45.0,Teak,tree,98.0,148.0,20.0,low,full sun,no,yes,no,20.0,35.0,70.0,50,65.0,200.0,12.0,42.0,"timber, furniture, boatbuilding",premium hardwood tree,"8,500",MMK/kg
BGO,46.0,Padauk,tree,30.0,120.0,20.0,low,full sun,no,yes,no,5.0,15.0,400.0,30,190.0,100.0,10.0,40.0,"Timber, furniture, carving, flooring, traditional medicine, shade",vibrant red hardwood tree,"9,500",MMK/kg
MAG,46.0,Padauk,tree,30.0,120.0,20.0,low,full sun,no,yes,no,5.0,15.0,400.0,30,190.0,100.0,10.0,40.0,"Timber, furniture, carving, flooring, traditional medicine, shade",vibrant red hardwood tree,"9,500",MMK/kg
MDY,46.0,Padauk,tree,30.0,120.0,20.0,low,full sun,no,yes,no,5.0,15.0,400.0,30,190.0,100.0,10.0,40.0,"Timber, furniture, carving, flooring, traditional medicine, shade",vibrant red hardwood tree,"9,500",MMK/kg
YGN,46.0,Padauk,tree,30.0,120.0,20.0,low,full sun,no,yes,no,5.0,15.0,400.0,30,190.0,100.0,10.0,40.0,"Timber, furniture, carving, flooring, traditional medicine, shade",vibrant red hardwood tree,"9,500",MMK/kg
AYY,47.0,Pomelo,fruit,15.0,50.0,13.0,medium,full sun,no,yes,no,3.0,7.0,30.0,30,40.0,65.0,3.0,40.0,"fruit, juice, zest",Large citrus fruit tree,"3,500",MMK/kg
AYY,47.0,Pomelo,fruit,15.0,50.0,13.0,medium,full sun,no,yes,no,3.0,7.0,30.0,30,40.0,65.0,3.0,40.0,"fruit, juice, zest",Large citrus fruit tree,"3,500",MMK/kg
BGO,47.0,Pomelo,fruit,15.0,50.0,13.0,medium,full sun,no,yes,no,3.0,7.0,30.0,30,40.0,65.0,3.0,40.0,"fruit, juice, zest",Large citrus fruit tree,"3,500",MMK/kg
MON,47.0,Pomelo,fruit,15.0,50.0,13.0,medium,full sun,no,yes,no,3.0,7.0,30.0,30,40.0,65.0,3.0,40.0,"fruit, juice, zest",Large citrus fruit tree,"3,500",MMK/kg
MAG,48.0,Tamarind,fruit,82.0,98.0,13.0,low,full sun,no,yes,no,13.0,14.0,50.0,25,117.0,60.0,25.0,40.0,"pulp, seasoning, confectionery",Tangy pod-bearing tree,"3,981",MMK/kg
MDY,48.0,Tamarind,fruit,82.0,98.0,13.0,low,full sun,no,yes,no,13.0,14.0,50.0,25,117.0,60.0,25.0,40.0,"pulp, seasoning, confectionery",Tangy pod-bearing tree,"3,981",MMK/kg
YGN,49.0,Star-flower,flower,15.0,30.0,2.0,medium,full sun,no,yes,yes,2.0,4.0,25.0,20,35.0,50.0,5.0,40.0,"ornamental, traditional medicine",Compact ornamental tree,"10,000",MMK/kg
AYY,49.0,Star-flower,flower,15.0,30.0,2.0,medium,full sun,no,yes,yes,2.0,4.0,25.0,20,35.0,50.0,5.0,40.0,"ornamental, traditional medicine",Compact ornamental tree,"10,000",MMK/kg
MON,49.0,Star-flower,flower,15.0,30.0,2.0,medium,full sun,no,yes,yes,2.0,4.0,25.0,20,35.0,50.0,5.0,40.0,"ornamental, traditional medicine",Compact ornamental tree,"10,000",MMK/kg
MAG,50.0,Neem,tree,40.0,80.0,13.0,low,full sun,no,yes,no,3.0,5.0,25.0,25,70.0,150.0,10.0,44.0,"insecticide, medicine, oil, soap",Natural medicinal tree,"5,000",MMK/kg
MDY,50.0,Neem,tree,40.0,80.0,13.0,low,full sun,no,yes,no,3.0,5.0,25.0,25,70.0,150.0,10.0,44.0,"insecticide, medicine, oil, soap",Natural medicinal tree,"5,000",MMK/kg
SAG,50.0,Neem,tree,40.0,80.0,13.0,low,full sun,no,yes,no,3.0,5.0,25.0,25,70.0,150.0,10.0,44.0,"insecticide, medicine, oil, soap",Natural medicinal tree,"5,000",MMK/kg
SHN_S,51.0,Avocado,fruit,15.0,60.0,20.0,medium,full sun,no,yes,yes,3.0,7.0,200.0,25,117.0,60.0,1.0,35.0,"Fruit production, shade, culinary oil",Creamy superfood fruit tree,"5,205",MMK/kg
SHN_S,52.0,Pine,tree,50.0,150.0,4.0,low,full sun,no,yes,no,4.0,10.0,500.0,30,300.0,550.0,-20.0,30.0,"Timber, paper, resin, landscaping, windbreaks",Tall evergreen conifer,"8,000",MMK/kg
KCH,52.0,Pine,tree,50.0,150.0,4.0,low,full sun,no,yes,no,4.0,10.0,500.0,30,300.0,550.0,-20.0,30.0,"Timber, paper, resin, landscaping, windbreaks",Tall evergreen conifer,"8,000",MMK/kg
CHN,52.0,Pine,tree,50.0,150.0,4.0,low,full sun,no,yes,no,4.0,10.0,500.0,30,300.0,550.0,-20.0,30.0,"Timber, paper, resin, landscaping, windbreaks",Tall evergreen conifer,"8,000",MMK/kg
MON,53.0,Durian,fruit,50.0,130.0,30.0,high,full sun,no,yes,no,5.0,7.0,400.0,25,170.0,100.0,15.0,35.0,"fruit, culinary ingredient",Strong-aroma tropical fruit tree,"21,434",MMK/kg
KAH,53.0,Durian,fruit,50.0,130.0,30.0,high,full sun,no,yes,no,5.0,7.0,400.0,25,170.0,100.0,15.0,35.0,"fruit, culinary ingredient",Strong-aroma tropical fruit tree,"21,434",MMK/kg
TNY,53.0,Durian,fruit,50.0,130.0,30.0,high,full sun,no,yes,no,5.0,7.0,400.0,25,170.0,100.0,15.0,35.0,"fruit, culinary ingredient",Strong-aroma tropical fruit tree,"21,434",MMK/kg
TNY,54.0,Burmese Iron Wood,tree,98.0,131.0,15.0,low,full sun,no,yes,no,5.0,12.0,60.0,40,60.0,200.0,5.0,45.0,"heavy timber, construction",Ultra-dense hardwood tree,"4,500",MMK/kg
MON,54.0,Burmese Iron Wood,tree,98.0,131.0,15.0,low,full sun,no,yes,no,5.0,12.0,60.0,40,60.0,200.0,5.0,45.0,"heavy timber, construction",Ultra-dense hardwood tree,"4,500",MMK/kg
RKE,54.0,Burmese Iron Wood,tree,98.0,131.0,15.0,low,full sun,no,yes,no,5.0,12.0,60.0,40,60.0,200.0,5.0,45.0,"heavy timber, construction",Ultra-dense hardwood tree,"4,500",MMK/kg
MDY,55.0,Lead tree,tree,10.0,50.0,15.0,low,full sun,no,yes,no,1.0,3.0,16.0,20,15.0,30.0,-2.0,40.0,"fodder, green manure, firewood",Fast-growing utility tree,"5,000",MMK/kg
MAG,55.0,Lead tree,tree,10.0,50.0,15.0,low,full sun,no,yes,no,1.0,3.0,16.0,20,15.0,30.0,-2.0,40.0,"fodder, green manure, firewood",Fast-growing utility tree,"5,000",MMK/kg
MON,56.0,Rubber,tree,50.0,138.0,20.0,medium,full sun,no,yes,no,5.0,7.0,64.0,45,30.0,65.0,4.0,35.0,"latex, tyres, rubber products",Commercial latex-producing tree,"4,287",MMK/kg
KYN,56.0,Rubber,tree,50.0,138.0,20.0,medium,full sun,no,yes,no,5.0,7.0,64.0,45,30.0,65.0,4.0,35.0,"latex, tyres, rubber products",Commercial latex-producing tree,"4,287",MMK/kg
TNY,56.0,Rubber,tree,50.0,138.0,20.0,medium,full sun,no,yes,no,5.0,7.0,64.0,45,30.0,65.0,4.0,35.0,"latex, tyres, rubber products",Commercial latex-producing tree,"4,287",MMK/kg
MDY,57.0,Eucalyptus,tree,30.0,200.0,20.0,low,full sun,no,yes,no,3.0,5.0,50.0,70,50.0,150.0,-4.0,43.0,"oil, timber, paper",Aromatic fast-growing tree,"10,000",MMK/kg
SAG,57.0,Eucalyptus,tree,30.0,200.0,20.0,low,full sun,no,yes,no,3.0,5.0,50.0,70,50.0,150.0,-4.0,43.0,"oil, timber, paper",Aromatic fast-growing tree,"10,000",MMK/kg
SHN_S,57.0,Eucalyptus,tree,30.0,200.0,20.0,low,full sun,no,yes,no,3.0,5.0,50.0,70,50.0,150.0,-4.0,43.0,"oil, timber, paper",Aromatic fast-growing tree,"10,000",MMK/kg
MAG,58.0,Thanakha,tree,10.0,30.0,4.0,low,full sun,no,yes,no,3.0,35.0,50.0,15,15.0,40.0,10.0,38.0,"cosmetic paste, skin care",Traditional skincare bark tree,"18,372",MMK/kg
YGN,58.0,Thanakha,tree,10.0,30.0,4.0,low,full sun,no,yes,no,3.0,35.0,50.0,15,15.0,40.0,10.0,38.0,"cosmetic paste, skin care",Traditional skincare bark tree,"18,372",MMK/kg
SAG,58.0,Thanakha,tree,10.0,30.0,4.0,low,full sun,no,yes,no,3.0,35.0,50.0,15,15.0,40.0,10.0,38.0,"cosmetic paste, skin care",Traditional skincare bark tree,"18,372",MMK/kg
MDY,58.0,Thanakha,tree,10.0,30.0,4.0,low,full sun,no,yes,no,3.0,35.0,50.0,15,15.0,40.0,10.0,38.0,"cosmetic paste, skin care",Traditional skincare bark tree,"18,372",MMK/kg
RKE,59.0,Sal tree,tree,50.0,100.0,20.0,low,full sun,no,yes,no,6.0,10.0,80.0,45,40.0,200.0,7.0,43.0,"timber, resin, tanning",Durable resin-rich timber tree,"4,000",MMK/kg
CHN,59.0,Sal tree,tree,50.0,100.0,20.0,low,full sun,no,yes,no,6.0,10.0,80.0,45,40.0,200.0,7.0,43.0,"timber, resin, tanning",Durable resin-rich timber tree,"4,000",MMK/kg
SHN_S,59.0,Sal tree,tree,50.0,100.0,20.0,low,full sun,no,yes,no,6.0,10.0,80.0,45,40.0,200.0,7.0,43.0,"timber, resin, tanning",Durable resin-rich timber tree,"4,000",MMK/kg
RKE,60.0,Tropical almond,tree,30.0,100.0,20.0,low,full sun,no,yes,no,3.0,5.0,80.0,35,25.0,60.0,4.0,40.0,"nuts, oil, timber",Coastal nut-producing tree,"5,000",MMK/kg
TNY,60.0,Tropical almond,tree,30.0,100.0,20.0,low,full sun,no,yes,no,3.0,5.0,80.0,35,25.0,60.0,4.0,40.0,"nuts, oil, timber",Coastal nut-producing tree,"5,000",MMK/kg
AYY,61.0,lemon,fruit,6.0,20.0,4.0,medium,Full Sun,yes,yes,yes,2.0,5.0,25.0,35,8.0,75.0,0.0,38.0,"fruit, juice, essential oil",Sour citrus fruit tree,"5,000",MMK/kg
BGO,61.0,lemon,fruit,6.0,20.0,4.0,medium,Full Sun,yes,yes,yes,2.0,5.0,25.0,35,8.0,75.0,0.0,38.0,"fruit, juice, essential oil",Sour citrus fruit tree,"5,000",MMK/kg
SHN_S,61.0,lemon,fruit,6.0,20.0,4.0,medium,Full Sun,yes,yes,yes,2.0,5.0,25.0,35,8.0,75.0,0.0,38.0,"fruit, juice, essential oil",Sour citrus fruit tree,"5,000",MMK/kg
YGN,61.0,lemon,fruit,6.0,20.0,4.0,medium,Full Sun,yes,yes,yes,2.0,5.0,25.0,35,8.0,75.0,0.0,38.0,"fruit, juice, essential oil",Sour citrus fruit tree,"5,000",MMK/kg
YGN,62.0,Money tree,fruit,3.0,60.0,3.0,low,partial sun,yes,yes,yes,2.0,4.0,80.0,10,4.0,50.0,7.0,38.0,"ornamental, edible seeds",Modern ornamental plant,"12,000",MMK/kg
MDY,62.0,Money tree,fruit,3.0,60.0,3.0,low,partial sun,yes,yes,yes,2.0,4.0,80.0,10,4.0,50.0,7.0,38.0,"ornamental, edible seeds",Modern ornamental plant,"12,000",MMK/kg
YGN,63.0,Sacred fig,fruit,30.0,100.0,13.0,low,full sun,no,yes,yes,5.0,8.0,100.0,45,35.0,800.0,4.0,43.0,"shade, religious, medicinal",Iconic heart-leaf sacred tree,"10,000",MMK/kg
BGO,63.0,Sacred fig,fruit,30.0,100.0,14.0,low,full sun,no,yes,yes,5.0,8.0,100.0,45,35.0,800.0,4.0,43.0,"shade, religious, medicinal",Iconic heart-leaf sacred tree,"10,000",MMK/kg
MDY,63.0,Sacred fig,fruit,30.0,100.0,15.0,low,full sun,no,yes,yes,5.0,8.0,100.0,45,35.0,800.0,4.0,43.0,"shade, religious, medicinal",Iconic heart-leaf sacred tree,"10,000",MMK/kg
MON,63.0,Sacred fig,fruit,30.0,100.0,16.0,low,full sun,no,yes,yes,5.0,8.0,100.0,45,35.0,800.0,4.0,43.0,"shade, religious, medicinal",Iconic heart-leaf sacred tree,"10,000",MMK/kg
AYY,64.0,Freshwater mangrove,fruit,10.0,50.0,20.0,low,Partial Sun,no,yes,no,3.0,6.0,80.0,45,35.0,90.0,10.0,38.0,"soil stabilization, water purification",Water-edge protective tree,"5,000",MMK/kg
MON,64.0,Freshwater mangrove,fruit,10.0,50.0,20.0,low,Partial Sun,no,yes,no,3.0,6.0,80.0,45,35.0,90.0,10.0,38.0,"soil stabilization, water purification",Water-edge protective tree,"5,000",MMK/kg
YGN,65.0,Orchid tree,flower,15.0,35.0,15.0,medium,full sun,no,yes,yes,0.5,2.0,40.0,20,28.0,35.0,-2.0,43.0,"ornamental, fodder, medicinal",Showy flowering tree,"30,000",MMK/kg
MDY,65.0,Orchid tree,flower,15.0,35.0,15.0,medium,full sun,no,yes,yes,0.5,2.0,40.0,20,28.0,35.0,-2.0,43.0,"ornamental, fodder, medicinal",Showy flowering tree,"30,000",MMK/kg
BGO,65.0,Orchid tree,flower,15.0,35.0,15.0,medium,full sun,no,yes,yes,0.5,2.0,40.0,20,28.0,35.0,-2.0,43.0,"ornamental, fodder, medicinal",Showy flowering tree,"30,000",MMK/kg
MDY,66.0,Golden shower tree,flower,30.0,50.0,15.0,low,full sun,no,yes,no,1.0,2.0,40.0,20,28.0,50.0,5.0,45.0,"ornamental, traditional medicine",Bright yellow-flower tree,"8,000",MMK/kg
SAG,66.0,Golden shower tree,flower,30.0,50.0,15.0,low,full sun,no,yes,no,1.0,2.0,40.0,20,28.0,50.0,5.0,45.0,"ornamental, traditional medicine",Bright yellow-flower tree,"8,000",MMK/kg
MAG,66.0,Golden shower tree,flower,30.0,50.0,15.0,low,full sun,no,yes,no,1.0,2.0,40.0,20,28.0,50.0,5.0,45.0,"ornamental, traditional medicine",Bright yellow-flower tree,"8,000",MMK/kg
MAG,67.0,Htanaung,tree,40.0,70.0,2.0,low,full sun,no,yes,no,3.0,6.0,60.0,35,40.0,80.0,10.0,42.0,"firewood, charcoal, furniture, dyeing",Strong local hardwood tree,"6,000",MMK/kg
MDY,67.0,Htanaung,tree,40.0,70.0,2.0,low,full sun,no,yes,no,3.0,6.0,60.0,35,40.0,80.0,10.0,42.0,"firewood, charcoal, furniture, dyeing",Strong local hardwood tree,"6,000",MMK/kg
MAG,68.0,Plum tree,fruit,10.0,20.0,4.0,medium,full sun,no,yes,yes,3.0,6.0,20.0,20,22.0,17.0,-25.0,38.0,"fruit, preserves",Juicy stone-fruit tree,"6,000",MMK/kg
SAG,68.0,Plum tree,fruit,10.0,20.0,4.0,medium,full sun,no,yes,yes,3.0,6.0,20.0,20,22.0,17.0,-25.0,38.0,"fruit, preserves",Juicy stone-fruit tree,"6,000",MMK/kg
MDY,68.0,Plum tree,fruit,10.0,20.0,4.0,medium,full sun,no,yes,yes,3.0,6.0,20.0,20,22.0,17.0,-25.0,38.0,"fruit, preserves",Juicy stone-fruit tree,"6,000",MMK/kg
MAG,69.0,Palm tree,tree,40.0,100.0,15.0,low,full sun,no,yes,no,7.0,12.0,50.0,40,50.0,100.0,10.0,48.0,"edible fruit, oil, thatch",Tall tropical multipurpose tree,"8,000",MMK/kg
SAG,69.0,Palm tree,tree,40.0,100.0,15.0,low,full sun,no,yes,no,7.0,12.0,50.0,40,50.0,100.0,10.0,48.0,"edible fruit, oil, thatch",Tall tropical multipurpose tree,"8,000",MMK/kg
MDY,69.0,Palm tree,tree,40.0,100.0,15.0,low,full sun,no,yes,no,7.0,12.0,50.0,40,50.0,100.0,10.0,48.0,"edible fruit, oil, thatch",Tall tropical multipurpose tree,"8,000",MMK/kg
YGN,71.0,cat-tail,vegetable,5.0,10.0,2.0,low,full sun,no,yes,no,0.5,1.0,5.0,20,60.0,1.0,-10.0,35.0,"Phytoremediation, weaving","Obligate wetland plant, heavy metal hyperaccumulator.
","5,000",MMK/kg
AYY,71.0,cat-tail,vegetable,5.0,10.0,2.0,low,full sun,no,yes,no,0.5,1.0,5.0,20,3.0,1.0,-10.0,35.0,"Phytoremediation, weaving","Obligate wetland plant, heavy metal hyperaccumulator.
","5,000",MMK/kg
SAG,72.0,night-fragrant-flower,flower,6.0,13.0,2.0,medium,Partial Sun,no,yes,yes,1.0,3.0,10.0,5,3.0,1.0,10.0,35.0,"Ornamental, Medicinal","Intensely fragrant at night, contains toxic alkaloids.

","6,000",MMK/kg
MDY,72.0,night-fragrant-flower,flower,7.0,14.0,2.0,medium,Partial Sun,no,yes,yes,2.0,4.0,11.0,5,3.0,18.0,10.0,35.0,"Ornamental, Medicinal","Intensely fragrant at night, contains toxic alkaloids.

","6,000",MMK/kg
BGO,73.0,paper-flower,flower,3.0,40.0,2.0,low,full sun,no,yes,yes,2.0,5.0,15.0,15,11.0,25.0,5.0,40.0,"Ornamental, Pollution mitigation","Drought tolerant, vibrant bracts, absorbs urban dust.","15,000",MMK/kg
YGN,73.0,paper-flower,flower,3.0,40.0,2.0,low,full sun,no,yes,yes,2.0,5.0,15.0,15,11.0,25.0,5.0,40.0,"Ornamental, Pollution mitigation","Drought tolerant, vibrant bracts, absorbs urban dust.","15,000",MMK/kg
TNY,74.0,Mesua ferrea(gan go),flower,1.0,100.0,20.0,low,Partial Sun,no,yes,no,10.0,20.0,60.0,100,35.0,150.0,15.0,35.0,"Timber, Religious, Medicinal","Ironwood, extremely hard timber, religious significance 
","10,000",MMK/kg
MON,74.0,Mesua ferrea(gan go),flower,1.0,100.0,20.0,low,Partial Sun,no,yes,no,10.0,20.0,60.0,100,35.0,150.0,15.0,35.0,"Timber, Religious, Medicinal","Ironwood, extremely hard timber, religious significance 
","10,000",MMK/kg
AYY,75.0,Syzygium spp(dabye),flower,40.0,100.0,20.0,low,full sun,no,yes,no,5.0,12.0,50.0,40,35.0,65.0,10.0,35.0,"Ceremonial, Timber","Leaves used in victory ceremonies, water tolerant.","4,000",MMK/kg
YGN,76.0,Four-o'clock-flower,flower,2.0,3.0,2.0,low,full sun,no,yes,yes,0.5,1.0,3.0,2,2.0,1.0,5.0,35.0,"Ornamental, Genetic studies","Flowers open in late afternoon, tuberous roots.","4,000",MMK/kg
MDY,76.0,Four-o'clock-flower,flower,2.0,3.0,2.0,low,full sun,no,yes,yes,0.5,1.0,3.0,2,2.0,1.0,5.0,35.0,"Ornamental, Genetic studies","Flowers open in late afternoon, tuberous roots.","4,000",MMK/kg
MON,77.0,Heaven-lotus(nei ban ca),flower,10.0,30.0,2.0,medium,Partial Sun,no,yes,no,4.0,8.0,30.0,15,10.0,40.0,5.0,35.0,Ornamental,"Gustavia superba, distinct flowers, evergreen.","10,000",MMK/kg
KYN,77.0,Heaven-lotus(nei ban ca),flower,10.0,30.0,2.0,medium,Partial Sun,no,yes,no,4.0,8.0,30.0,15,10.0,40.0,5.0,35.0,Ornamental,"Gustavia superba, distinct flowers, evergreen.","10,000",MMK/kg
RKE,78.0,Elephant-ear-taro(hsin naywe pein),vegetable,3.0,6.0,4.0,medium,partial sun,no,yes,no,0.5,1.0,5.0,v,7.0,1.0,10.0,35.0,"Food wrapping, Fodder","Large leaves, thrives in wet/marshy areas.","20,000",MMK/kg
MDY,79.0,Kiss me(quick),flower,1.0,3.0,2.0,low,full sun,yes,yes,yes,0.2,0.5,2.0,1,1.0,1.0,5.0,32.0,"Ornamental, Ground cover","Portulaca/Succulent, extremely drought tolerant.","5,000",MMK/kg
